500
19099	20519	259
22092	15023	259
14558	4773	259
15046	9859	259
12865	20460	259
7645	10227	259
19856	8428	259
15055	18264	259
24282	8261	259
8011	21154	259
10214	20392	259
6074	21215	259
2370	3683	259
12888	22159	259
9817	6078	259
1426	5999	259
22399	15762	259
21185	8021	259
4897	6444	259
14105	2280	259
9436	17209	259
16403	16402	259
19762	21643	259
12097	902	259
24396	14045	259
13046	5483	259
8209	14998	259
22548	7522	259
15712	8402	259
23716	1250	259
9725	19760	259
20489	1267	259
20786	3279	259
5096	2758	259
18588	21068	18
13922	14663	18
23131	23703	18
11143	21264	18
21730	10680	18
21933	21809	18
17362	1591	18
22721	3029	18
24460	17215	18
1759	22713	18
9257	19687	18
18207	19808	18
21483	21393	18
21206	1591	18
6634	9073	18
18587	6369	18
22151	18470	18
13780	1696	18
10771	21153	18
15821	6127	18
22565	22565	18
11940	16963	18
3425	21264	18
5109	5085	18
18029	8843	18
3391	22620	18
18160	21151	18
20721	21005	18
19124	7911	18
16546	3478	18
11116	20107	18
4862	19637	18
10652	10652	18
6983	20685	18
3670	5965	18
18521	6556	18
3803	16255	18
4161	22277	18
9600	11993	18
24416	5092	18
17873	12344	18
18470	22151	18
14530	1238	18
1696	8063	18
12731	5374	18
13147	410	18
20522	21523	18
7624	2821	18
7742	2889	18
2920	14899	18
3884	22522	18
22343	22343	18
2954	8740	18
11847	23616	18
3948	24475	18
5968	20107	18
23537	8652	18
2256	12296	18
21480	21362	18
4049	22591	18
2235	6837	18
494	6137	18
574	15868	18
10708	20605	18
21090	12206	18
17451	22713	18
1559	1696	18
4229	21298	18
11800	12224	18
21393	21483	18
23168	8641	18
17980	20781	18
2843	23565	18
12512	10869	18
24298	4438	18
5879	18374	18
23703	23703	18
7191	3478	18
19642	2129	101
10632	24582	101
1615	1614	280
18197	10659	280
2416	10477	280
15020	5015	325
3509	9313	325
21323	10404	325
19085	22773	325
9877	15760	325
18114	20575	325
2596	8280	325
14817	18283	325
14884	6901	325
2938	16066	325
2978	19307	325
9656	9656	325
20336	8495	325
22274	20436	325
16180	7533	325
21463	19306	325
13522	13525	325
18553	19698	325
21932	21530	325
23109	14683	325
12499	12500	325
23821	18628	325
9095	24091	325
16006	19661	325
21880	21265	325
5974	5975	325
21853	24384	325
19876	23684	325
12316	23520	325
13379	19193	325
21437	7523	325
881	10614	325
13138	22093	325
24374	2612	325
13955	9747	325
22052	22622	325
12935	7751	325
21696	7087	325
18554	17048	325
5020	15057	325
19109	1756	325
3688	5901	325
19393	7305	325
22543	21867	325
16375	4551	325
2908	18563	285
