32388
1517	19956	32
2200	19956	57
992	17255	86
992	15626	23
1436	1437	236
472	17469	273
472	2689	18
472	2689	19
596	13409	138
596	3981	160
987	1680	32
609	10114	72
9731	6630	166
1023	8134	212
736	1331	86
2061	9467	339
1148	19777	174
1148	6271	334
21125	3444	319
21125	4637	121
2067	1605	344
1680	8134	72
1680	7691	174
1680	6305	174
1875	7473	134
3356	6630	222
3356	6630	166
2633	14586	48
3352	8682	72
2524	18484	65
2222	2218	231
2222	6630	166
2222	2220	306
2220	2218	231
2220	6630	166
2261	10294	79
2261	10294	93
2261	10294	111
2261	2016	121
2504	10963	65
2359	8073	319
4980	17020	164
4980	7452	99
3952	17020	164
3952	7452	99
4644	1605	344
3664	3665	112
4113	2050	115
4109	1612	32
5488	14319	68
6138	6138	207
6138	6138	206
5628	17875	154
6191	22881	7
5775	16701	165
5324	22940	1
5324	364	1
6194	14686	204
6194	11003	153
6194	22034	153
5523	20552	134
5523	22168	134
5113	8134	72
6713	17020	164
6713	7452	99
6411	19515	32
6634	3414	18
6634	1077	18
6634	8195	18
6634	5143	18
6634	3414	19
6634	1077	19
6634	8195	19
6634	5143	19
6634	9073	19
6642	13215	100
6642	22656	101
6642	15626	23
7113	17020	164
7113	7452	99
7473	4754	90
7350	6271	334
1013	11103	255
1013	11103	232
7624	20651	134
7624	2821	19
17834	7624	208
17834	7624	209
17834	20651	134
7230	6630	166
7230	16761	172
7575	19152	72
7530	496	66
7662	1436	32
7332	17064	221
7416	2630	122
8075	12994	86
8134	1595	172
8397	8398	297
7993	3587	99
8682	18757	48
8682	6630	222
8682	6630	166
7902	9366	323
7902	7902	207
8097	11118	7
8015	6626	329
7946	15153	329
7946	6626	329
8244	17064	221
7965	59	342
9554	9366	134
9311	9865	269
9311	7371	134
9066	9116	134
9116	6140	157
9116	8671	90
9116	17293	206
9018	8692	86
9018	1606	282
9250	1961	115
9250	6308	115
9250	5226	153
8910	8134	72
8870	6476	59
9008	22929	7
10114	1887	166
10114	1200	172
9865	22247	163
10606	7473	323
10606	6140	157
10606	4487	157
10606	9366	90
10606	13509	206
10606	15326	206
10291	12994	86
10291	22904	7
10291	22122	153
10291	23621	153
10291	23936	153
10837	22667	86
10837	15274	23
10703	1605	344
10703	16318	32
11109	12994	32
11109	6626	329
10423	20110	86
11095	22931	7
11095	11231	317
11095	16481	54
10951	8091	257
10951	23620	139
10951	12040	139
11361	13514	273
10912	9228	232
10830	1301	86
12111	12115	166
12101	8134	86
11741	14943	339
11741	186	342
11713	8134	252
11713	6630	166
13272	9206	172
6403	1188	154
6403	5399	153
13202	8134	212
12343	1606	72
12238	6138	134
12238	15326	134
12422	19956	86
12422	19956	212
12422	15546	255
7909	17766	274
7909	9116	134
7452	17020	164
13473	12746	48
13473	6630	222
13473	6630	166
14039	6630	166
14896	19586	18
14896	19586	19
14064	14064	115
14064	8031	154
14064	23746	154
14064	8031	153
14064	8760	153
13446	8134	72
14295	8075	154
14547	17020	164
14547	7452	99
15244	6630	166
15444	6630	277
15444	6630	166
15297	6140	157
15297	16666	157
15297	10606	134
15297	9116	134
15541	19956	86
16065	17020	164
16065	7452	99
16085	6630	222
16085	6630	166
17345	5084	24
17345	9366	134
17358	12994	58
16740	20653	7
17364	12352	339
16482	12994	32
16482	22904	7
17125	4764	35
16501	7708	86
16764	12994	32
16764	12994	283
16233	7350	32
16233	7350	86
16841	7473	134
17896	17891	138
17875	17683	241
17875	24026	154
17773	4872	319
17773	8562	66
18191	9116	134
18191	21790	18
18191	21264	18
18191	22565	18
18191	21790	19
18191	21264	19
18191	22565	19
17566	14945	32
17566	17199	32
17566	14945	32
17566	10021	212
17566	9978	7
18492	4491	18
18492	4491	19
19984	17020	164
19984	7452	99
19722	9637	108
19722	18188	172
18767	20654	247
19937	17891	138
19937	12115	222
19937	4259	108
20137	18049	79
20137	1130	319
20137	18049	111
20137	19509	111
19555	6630	222
19555	6630	166
18839	14686	204
18853	22904	105
20228	2633	86
20008	8127	122
18806	6634	205
18753	1605	344
18751	1606	344
18751	16626	187
18751	16626	32
18751	16626	86
19637	2821	18
19637	6859	18
19637	2821	19
19637	6859	19
21170	22892	97
21000	7401	339
21000	12352	339
21000	4743	1
21838	17336	180
22704	6894	319
22704	19996	66
22130	12994	32
22130	12994	86
22130	12994	284
39	5440	319
39	22892	97
20995	18753	239
22661	19920	315
21264	11143	122
21264	3425	122
21264	12994	147
21264	15583	273
20342	19299	26
22221	9149	237
21425	6634	205
22921	7401	339
23064	7350	185
23064	16335	151
23956	12994	32
23956	12994	86
23703	23703	19
23728	10064	167
23728	3362	167
24445	19621	225
12567	4118	80
13403	12364	32
950	92	119
23802	17020	164
23802	7452	99
5305	5305	122
5305	9116	134
5305	15349	18
5305	20349	18
5305	23052	18
5305	15349	19
5305	20349	19
5305	23052	19
21741	6320	68
21741	348	121
11452	17262	23
22883	8706	26
17055	11062	153
19963	11821	170
19963	12969	190
2849	20653	336
16161	4471	86
8422	19082	109
16784	4604	273
